Designator,Mid X,Mid Y,Rotation,Layer
SW1_7,187.8,-51.2,0.0,top
SW1_8,169.8,-51.2,0.0,top
SW1_9,151.8,-51.2,0.0,top
SW2,69.24,-131.29,0.0,bottom
SW2_0,313.85,-68.2,0.0,top
SW2_1,295.8,-68.2,0.0,top
SW2_10,133.8,-68.2,0.0,top
SW2_11,115.8,-68.2,0.0,top
SW2_12,97.8,-68.2,0.0,top
SW2_2,277.8,-68.2,0.0,top
SW2_3,259.8,-68.2,0.0,top
SW2_4,241.8,-68.2,0.0,top
SW2_5,223.8,-68.2,0.0,top
SW2_6,205.8,-68.2,0.0,top
SW2_7,187.8,-68.2,0.0,top
SW2_8,169.8,-68.2,0.0,top
SW2_9,151.8,-68.2,0.0,top
SW3,55.83,-131.28,0.0,bottom
SW3_0,313.85,-85.2,0.0,top
SW3_1,295.8,-85.2,0.0,top
SW3_10,133.8,-85.2,0.0,top
SW3_11,115.8,-85.2,0.0,top
SW3_12,97.8,-85.2,0.0,top
SW3_2,277.8,-85.2,0.0,top
SW3_3,259.8,-85.2,0.0,top
SW3_4,241.8,-85.2,0.0,top
SW3_5,223.8,-85.2,0.0,top
SW3_6,205.8,-85.2,0.0,top
SW3_7,187.8,-85.2,0.0,top
SW3_8,169.8,-85.2,0.0,top
SW3_9,151.8,-85.2,0.0,top
SW4,82.68,-131.28,0.0,bottom
SW4_0,313.85,-102.2,0.0,top
SW4_1,295.8,-102.2,0.0,top
SW4_10,133.8,-102.2,0.0,top
SW4_11,115.8,-102.2,0.0,top
SW4_12,97.8,-102.2,0.0,top
SW4_2,277.8,-102.2,0.0,top
SW4_3,259.8,-102.2,0.0,top
SW4_4,241.8,-102.2,0.0,top
SW4_5,223.8,-102.2,0.0,top
SW4_6,205.8,-102.2,0.0,top
SW4_7,187.8,-102.2,0.0,top
SW4_8,169.8,-102.2,0.0,top
SW4_9,151.8,-102.2,0.0,top
SW5_0,313.85,-119.2,0.0,top
SW5_1,295.8,-119.2,0.0,top
SW5_10,133.8,-119.2,0.0,top
SW5_11,115.8,-119.2,0.0,top
SW5_12,97.8,-119.2,0.0,top
SW5_2,277.8,-119.2,0.0,top
SW5_3,259.8,-119.2,0.0,top
SW5_4,241.8,-119.2,0.0,top
SW5_5,223.8,-119.2,0.0,top
SW5_6,205.8,-119.2,0.0,top
SW5_7,187.8,-119.2,0.0,top
SW5_8,169.8,-119.2,0.0,top
SW5_9,151.8,-119.2,0.0,top
SW6_0,313.85,-136.2,0.0,top
SW6_1,295.8,-136.2,0.0,top
SW6_10,133.8,-136.2,0.0,top
SW6_11,115.8,-136.2,0.0,top
SW6_12,97.8,-136.2,0.0,top
SW6_2,277.8,-136.2,0.0,top
SW6_3,259.8,-136.2,0.0,top
SW6_4,241.8,-136.2,0.0,top
SW6_5,223.8,-136.2,0.0,top
SW6_6,205.8,-136.2,0.0,top
SW6_7,187.8,-136.2,0.0,top
SW6_8,169.8,-136.2,0.0,top
SW6_9,151.8,-136.2,0.0,top
TH1,69.4,-90.23,180.0,top
U1,336.66,-121.64,270.0,top
U2,340.815,-86.44,270.0,top
U3,330.21,-71.52,90.0,top
U4,326.8425,-71.61,180.0,top
U5,328.2,-92.325,180.0,top
U6,331.6975,-58.61,0.0,top
U7,332.94,-140.8,0.0,top
