Designator,Footprint,Quantity,Value,LCSC Part #
BRDC1,9E6018AD_Cutout_top,1,~,
"RVC1, RVC2, RVC3",Potentiometer_Slider_AliExpress_10k_35mm_Top,3,~,
SWC1,Akidsuki_WhiteCircleTactileSwitch_Cutout_top,1,~,
"SWC2, SWC3",SW_PUSH_6mm_H9.5mm_DTS65_cutout_top,2,~,
