Designator,Footprint,Quantity,Value,LCSC Part #
BRDC1,9E6018AD_Cutout,1,~,
DC1,LED_D5.0mm THT Hole,1,~,
"RVC1, RVC2, RVC3",Potentiometer_Slider_AliExpress_10k_35mm_Hole,3,~,
SWC1,Akidsuki_WhiteCircleTactileSwitch_Cutout,1,~,
"SWC1_0, SWC1_1, SWC1_10, SWC1_11, SWC1_12, SWC1_2, SWC1_3, SWC1_4, SWC1_5, SWC1_6, SWC1_7, SWC1_8, SWC1_9, SWC2_0, SWC2_1, SWC2_10, SWC2_11, SWC2_12, SWC2_2, SWC2_3, SWC2_4, SWC2_5, SWC2_6, SWC2_7, SWC2_8, SWC2_9, SWC3_0, SWC3_1, SWC3_10, SWC3_11, SWC3_12, SWC3_2, SWC3_3, SWC3_4, SWC3_5, SWC3_6, SWC3_7, SWC3_8, SWC3_9, SWC4_0, SWC4_1, SWC4_10, SWC4_11, SWC4_12, SWC4_2, SWC4_3, SWC4_4, SWC4_5, SWC4_6, SWC4_7, SWC4_8, SWC4_9, SWC5_0, SWC5_1, SWC5_10, SWC5_11, SWC5_12, SWC5_2, SWC5_3, SWC5_4, SWC5_5, SWC5_6, SWC5_7, SWC5_8, SWC5_9, SWC6_0, SWC6_1, SWC6_10, SWC6_11, SWC6_12, SWC6_2, SWC6_3, SWC6_4, SWC6_5, SWC6_6, SWC6_7, SWC6_8, SWC6_9",SW_Kailh_Choc_Cutout_YushadoCap,78,~,
"SWC2, SWC3",SW_PUSH_6mm_H9.5mm_DTS65_cutout,2,~,
